instance,horizon,variables,clauses,makespan,status,Solve time,timeout,error,,,534,18,88
j3037_7.mm,226,360834,1089062,59,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3037_8.mm,239,397122,1185122,47,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3037_9.mm,250,439592,1328691,83,Feasible,601.13,Yes,wall-time kill (parent),,,,,
j3038_1.mm,240,452162,1269089,46,Optimal,1.17,No,,,,,,
j3038_10.mm,239,494730,1341179,37,Optimal,1,No,,,,,,
j3038_2.mm,251,541708,1464614,44,Optimal,0.76,No,,,,,,
j3038_3.mm,254,570054,1518390,34,Optimal,2.29,No,,,,,,
j3038_4.mm,229,357830,1117443,50,Optimal,5.27,No,,,,,,
j3038_5.mm,237,438188,1250463,50,Optimal,8.83,No,,,,,,
j3038_6.mm,238,482138,1309814,36,Optimal,5.13,No,,,,,,
j3038_7.mm,240,523453,1392478,38,Optimal,14.85,No,,,,,,
j3038_8.mm,236,499562,1343965,40,Optimal,1.15,No,,,,,,
j3038_9.mm,246,523490,1431256,45,Optimal,1.43,No,,,,,,
j3039_1.mm,253,653536,1704618,43,Optimal,0.78,No,,,,,,
j3039_10.mm,236,490616,1321943,44,Optimal,1.68,No,,,,,,
j3039_2.mm,251,582527,1551536,42,Optimal,1.23,No,,,,,,
j3039_3.mm,227,445375,1233914,49,Optimal,0.71,No,,,,,,
j3039_4.mm,247,502151,1367279,49,Optimal,0.8,No,,,,,,
j3039_5.mm,231,492245,1327939,32,Optimal,0.55,No,,,,,,
j3039_6.mm,221,365433,1094768,36,Optimal,1.25,No,,,,,,
j3039_7.mm,241,550201,1465926,38,Optimal,0.82,No,,,,,,
j3039_8.mm,230,470532,1282312,42,Optimal,1,No,,,,,,
j3039_9.mm,240,501191,1339653,42,Optimal,1.35,No,,,,,,
j303_1.mm,224,242504,798271,,Infeasible,0.05,No,,,,,,
j303_10.mm,227,220169,760776,,Infeasible,0.11,No,,,,,,
j303_2.mm,246,265782,850910,,Infeasible,0.11,No,,,,,,
j303_3.mm,220,228367,743858,,Infeasible,0.04,No,,,,,,
j303_4.mm,242,272014,849667,,Infeasible,0.05,No,,,,,,
j303_5.mm,236,204725,718923,,Infeasible,0.18,No,,,,,,
j303_6.mm,243,253427,817791,,Infeasible,0.08,No,,,,,,
j303_7.mm,234,225150,756743,,Infeasible,0.33,No,,,,,,
j303_8.mm,253,275001,890315,,Infeasible,0.22,No,,,,,,
j303_9.mm,243,218319,762995,,Infeasible,0.06,No,,,,,,
j3040_1.mm,233,553883,1446587,38,Optimal,0.66,No,,,,,,
j3040_10.mm,242,547689,1466989,44,Optimal,0.63,No,,,,,,
j3040_2.mm,233,545038,1434744,41,Optimal,0.8,No,,,,,,
j3040_3.mm,252,637274,1656648,36,Optimal,0.96,No,,,,,,
j3040_4.mm,232,570662,1488427,40,Optimal,1.22,No,,,,,,
j3040_5.mm,220,464033,1253598,48,Optimal,0.6,No,,,,,,
j3040_6.mm,248,555593,1500759,41,Optimal,0.9,No,,,,,,
j3040_7.mm,247,601304,1581327,48,Optimal,0.91,No,,,,,,
j3040_8.mm,235,548994,1453990,41,Optimal,0.68,No,,,,,,
j3040_9.mm,238,576023,1519283,43,Optimal,0.59,No,,,,,,
j3041_1.mm,217,168819,624786,36,Optimal,0.49,No,,,,,,
j3041_10.mm,246,195399,718960,38,Optimal,0.56,No,,,,,,
j3041_2.mm,233,176809,647207,36,Optimal,0.97,No,,,,,,
j3041_3.mm,241,172178,666390,42,Optimal,0.51,No,,,,,,
j3041_4.mm,224,180942,645962,35,Optimal,0.54,No,,,,,,
j3041_5.mm,231,174151,628353,37,Optimal,0.71,No,,,,,,
j3041_6.mm,235,207323,732895,33,Optimal,0.83,No,,,,,,
j3041_7.mm,261,212184,786184,39,Optimal,1.08,No,,,,,,
j3041_8.mm,239,211771,750682,30,Optimal,1.11,No,,,,,,
j3041_9.mm,233,176144,634234,42,Optimal,0.53,No,,,,,,
j3042_1.mm,236,177599,660786,36,Optimal,0.48,No,,,,,,
j3042_10.mm,227,203512,702189,36,Optimal,0.59,No,,,,,,
j3042_2.mm,240,237278,792918,26,Optimal,0.58,No,,,,,,
j3042_3.mm,221,194644,690559,37,Optimal,0.5,No,,,,,,
j3042_4.mm,229,245284,781903,28,Optimal,0.64,No,,,,,,
j3042_5.mm,250,182128,678858,35,Optimal,0.94,No,,,,,,
j3042_6.mm,231,188872,699728,30,Optimal,0.49,No,,,,,,
j3042_7.mm,245,266168,870068,29,Optimal,0.73,No,,,,,,
j3042_8.mm,247,252190,813171,28,Optimal,0.63,No,,,,,,
j3042_9.mm,231,233534,760093,31,Optimal,0.55,No,,,,,,
j3043_1.mm,236,234926,765711,29,Optimal,0.56,No,,,,,,
j3043_10.mm,234,238934,768192,30,Optimal,0.53,No,,,,,,
j3043_2.mm,259,305843,955914,32,Optimal,0.63,No,,,,,,
j3043_3.mm,231,263421,821656,26,Optimal,0.71,No,,,,,,
j3043_4.mm,242,239571,789103,27,Optimal,0.81,No,,,,,,
j3043_5.mm,250,198890,728730,44,Optimal,0.48,No,,,,,,
j3043_6.mm,225,250962,804118,28,Optimal,0.67,No,,,,,,
j3043_7.mm,236,199958,709792,33,Optimal,0.54,No,,,,,,
j3043_8.mm,241,248980,783706,34,Optimal,0.54,No,,,,,,
j3043_9.mm,241,248226,807745,38,Optimal,0.45,No,,,,,,
j3044_1.mm,239,269848,852675,41,Optimal,0.56,No,,,,,,
j3044_10.mm,238,258791,822338,31,Optimal,0.61,No,,,,,,
j3044_2.mm,232,273070,834439,27,Optimal,0.47,No,,,,,,
j3044_3.mm,248,299477,922219,34,Optimal,0.55,No,,,,,,
j3044_4.mm,235,260205,807851,33,Optimal,0.48,No,,,,,,
j3044_5.mm,236,280725,873050,29,Optimal,0.68,No,,,,,,
j3044_6.mm,232,287626,874333,25,Optimal,0.48,No,,,,,,
